,t1,nu11,Theta
33.sfs,0.00014239468833785016,0.0007484425165939488,270539.86650780926
40.sfs,0.00016048889695225048,0.0007484425138326357,184232.25355496717
42.sfs,0.0001580886406828332,0.0007484425138784617,297087.50046388997
47.sfs,0.00011569011596048922,0.0007484425258475649,240886.10187433453
43.sfs,0.00016048889695224785,0.0007484425138326357,233053.20621495257
50.sfs,8.227509044596836e-05,0.0007484425444131471,199978.00091201038
37.sfs,0.00015993419826179384,0.0007484425138344286,233872.06093841942
41.sfs,0.00014349013065945295,0.0007484425163075437,246521.38371832657
35.sfs,0.00014787284398846073,0.0007484425152534681,286185.1182149488
15.sfs,0.00016048889695225048,0.0007484425138326357,229931.311032827
30.sfs,0.00015019064164597097,0.0007484425147421526,260752.6116216838
49.sfs,0.00016048889695225048,0.0007484425138326357,212500.68948242252
01.sfs,0.0001604888969522503,0.0007484425138326357,292094.81525299017
36.sfs,0.00016048889695225032,0.0007484425138326357,246538.73431624033
03.sfs,0.00016048889695225048,0.0007484425138326357,269396.20619634364
28.sfs,0.000144861286752519,0.0007484425159672061,286385.89903339127
05.sfs,0.00010971586796214793,0.0007484425294659102,237420.84185252272
09.sfs,0.00013804897437504985,0.0007484425180129438,261082.02636170544
10.sfs,0.00014805859334993734,0.0007484425152221032,282692.92964502954
18.sfs,0.00014006134577818964,0.0007484425172910932,280210.2862764815
17.sfs,0.00012148586798235902,0.000748442523411582,217155.80020809188
22.sfs,0.00015689346760438915,0.0007491913308215951,233783.66527115213
04.sfs,0.00013161072150465276,0.0007484425203751799,245719.77300155768
02.sfs,0.00016048889695220503,0.0007484425138326357,215644.2477768209
08.sfs,0.00013512428758740395,0.0007491913359559263,227742.57508579828
14.sfs,0.00012942406778944024,0.000749191338236565,248307.3788088643
12.sfs,0.00016048889695225035,0.0007484425138326357,196973.5333984971
26.sfs,0.00016048889695225048,0.0007484425138326357,266977.6400598757
20.sfs,0.0001604888969522135,0.0007484425138326357,302356.39084313007
34.sfs,0.00016048889695224953,0.0007484425138326357,192728.04479230588
45.sfs,0.00015663041852037935,0.000748442513972948,265621.48555487586
13.sfs,0.00014287221076262726,0.0007484425164876691,250499.68408987223
11.sfs,0.0001604888969522422,0.0007484425138326357,241464.2706131114
44.sfs,0.00016048889695220917,0.0007484425138326357,211293.33202415484
19.sfs,0.00016048889695224276,0.0007484425138326357,199508.11753633484
38.sfs,0.00015274175933132755,0.000749191331331726,245382.32327808833
16.sfs,0.00016048889695224872,0.0007484425138326357,300099.57594510657
39.sfs,0.00016048889695223655,0.0007484425138326357,221357.53259124325
25.sfs,0.00015954506413372126,0.0007484425138394209,281251.63660138927
24.sfs,0.00014686641097171936,0.0007484425153760575,266980.6089278658
21.sfs,0.00016048889695223658,0.0007484425138326357,238606.66540091304
31.sfs,0.00014637461325930868,0.0007484425155536755,261782.6970142198
48.sfs,0.0001528433996652168,0.0007484425143471314,256570.83276301486
46.sfs,0.00011658667413134815,0.0007484425257358023,228129.60708345482
06.sfs,0.000148394986978147,0.0007484425151486443,259244.30643254527
32.sfs,0.00015927985702340842,0.0007484425138461727,277278.6287744754
07.sfs,0.00013994799111818787,0.0007484425172675139,255232.41793490967
23.sfs,0.0001396888473127435,0.0007484425174157805,246101.36185945538
29.sfs,0.00010130612305391929,0.0007484425336467621,260832.78205996906
27.sfs,0.0001604888969522409,0.0007484425138326357,203719.90796785388
